disease,home_remedy_1,home_remedy_2,home_remedy_3,home_remedy_4,home_remedy_5,effectiveness_rating,preparation_time_minutes,cost_level,safety_level
Stroke,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,,8.5,29,Low,Caution Required
Psoriasis,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),,6.3,6,Low,Caution Required
Tension Headache,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",6.4,51,Very Low,Caution Required
Breast Cancer,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),7.1,7,Low,Caution Required
Measles,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),6.3,11,Low,Safe
GERD,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",4.8,59,Moderate,Very Safe
Endometriosis,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),,8.0,31,High,Very Safe
Deep Vein Thrombosis,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),3.3,13,High,Very Safe
Common Cold,Drink warm ginger-honey-lemon tea (1 tsp each in hot water) 3 times daily,Drink bone broth rich in minerals and amino acids,Use eucalyptus steam inhalation for 10-15 minutes twice daily,,,4.1,39,Very Low,Very Safe
Peptic Ulcer,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,,,5.6,33,Moderate,Very Safe
Gallstones,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",,6.9,47,High,Consult Doctor
Back Pain,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),4.8,54,High,Very Safe
Hypertension,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,,3.5,53,High,Very Safe
Crohns Disease,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",,3.1,20,High,Very Safe
Thyroid Disorder,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,6.0,9,Very Low,Consult Doctor
Salmonella,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,,,7.5,21,High,Caution Required
Meniere Disease,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,,3.8,31,Moderate,Very Safe
Hyperthyroidism,Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,,,4.3,27,Very Low,Consult Doctor
Asthma,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,,,6.1,16,Moderate,Very Safe
Heart Attack,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,,4.5,57,Low,Safe
Prostate Cancer,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,8.3,14,Low,Consult Doctor
Common Cold,Use eucalyptus steam inhalation for 10-15 minutes twice daily,Consume 2-3 cloves fresh garlic daily for immune support,Use saline nasal spray every 2-3 hours while awake,"Apply warm compress on sinuses for 10 minutes, 3 times daily",Take echinacea supplements (400mg twice daily),6.2,20,Very Low,Safe
Multiple Sclerosis,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,,,4.6,45,Moderate,Caution Required
Measles,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),,5.7,39,Low,Consult Doctor
Vertigo,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,7.7,49,Low,Very Safe
Rheumatoid Arthritis,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,5.7,27,Low,Safe
Laryngitis,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,,,4.9,18,Very Low,Consult Doctor
COVID-19,Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),,,4.7,13,High,Safe
Crohns Disease,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,,,5.0,8,Moderate,Very Safe
IBS,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),,,5.8,13,Low,Safe
Ulcerative Colitis,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,5.6,33,Low,Consult Doctor
Ulcerative Colitis,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,9.2,48,Low,Caution Required
Stroke,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",,8.5,57,Low,Consult Doctor
Panic Disorder,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,,4.9,49,Low,Very Safe
Tension Headache,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,,,3.6,33,Very Low,Caution Required
Breast Cancer,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,,,8.7,60,Moderate,Very Safe
Macular Degeneration,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,6.7,38,Very Low,Very Safe
Insomnia,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",,,4.3,47,Very Low,Consult Doctor
Sleep Apnea,Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,,5.8,36,Very Low,Safe
Hypertension,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,,6.4,48,Very Low,Caution Required
Gastritis,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),,,3.0,18,Very Low,Consult Doctor
Appendicitis,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,,9.4,25,Very Low,Very Safe
Diarrhea,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",7.8,55,Very Low,Very Safe
Glaucoma,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,,,5.3,15,Low,Caution Required
Acid Reflux,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),,,6.8,40,Moderate,Very Safe
Leukemia,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,,6.4,55,High,Consult Doctor
Insomnia,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",,9.2,47,Moderate,Consult Doctor
Hepatitis C,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,,6.5,12,Very Low,Very Safe
Gastritis,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,,,5.9,18,Moderate,Consult Doctor
Obesity,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",7.5,31,High,Consult Doctor
Osteoarthritis,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),7.8,47,Moderate,Caution Required
Rheumatoid Arthritis,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,,,9.4,19,Moderate,Safe
Coronary Artery Disease,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,,5.8,34,High,Safe
Sleep Apnea,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),,,4.2,29,Low,Very Safe
Hypothyroidism,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),,,9.0,26,Moderate,Caution Required
PCOS,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),4.9,26,Low,Very Safe
Diarrhea,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,,7.8,42,Low,Consult Doctor
Celiac Disease,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),6.8,39,High,Safe
Anemia,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),5.1,42,Low,Safe
Cluster Headache,Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",,,8.8,43,High,Consult Doctor
Obesity,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,,6.4,33,Moderate,Very Safe
Hepatitis B,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",,,7.2,24,Low,Consult Doctor
Salmonella,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,,3.5,20,Moderate,Consult Doctor
Chronic Fatigue,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,7.4,12,High,Consult Doctor
Dermatitis,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,,,7.4,6,High,Consult Doctor
Skin Cancer,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),,,5.5,58,High,Caution Required
Hepatitis A,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,8.2,17,High,Very Safe
Salmonella,Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",,8.7,32,Moderate,Safe
Hypertension,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",,8.4,23,High,Consult Doctor
Asthma,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",4.0,14,High,Safe
Macular Degeneration,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),,,8.3,53,Moderate,Safe
Asthma,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",,,8.0,48,Very Low,Caution Required
Kidney Stones,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",,,8.9,27,Very Low,Consult Doctor
Osteoporosis,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",,,3.8,28,High,Caution Required
Heart Attack,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,,8.8,45,Very Low,Caution Required
Kidney Stones,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",,4.7,14,Very Low,Caution Required
Iron Deficiency,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,,7.3,12,Very Low,Very Safe
Chronic Kidney Disease,Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",,5.3,18,High,Consult Doctor
Bronchitis,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,,,8.8,22,Low,Caution Required
Heart Attack,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),4.3,12,Moderate,Consult Doctor
Osteoporosis,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,,5.6,37,Low,Safe
Multiple Sclerosis,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,3.9,38,Low,Consult Doctor
Skin Allergies,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,5.7,29,Moderate,Caution Required
Asthma,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)","Use stress reduction techniques (meditation, deep breathing)",,,8.5,43,Very Low,Very Safe
Glaucoma,Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,,,7.0,18,Very Low,Caution Required
Peptic Ulcer,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),,4.1,43,High,Safe
Kidney Stones,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),,,8.5,16,Very Low,Very Safe
Migraine,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,,,7.3,23,Low,Very Safe
Laryngitis,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,,3.9,40,High,Caution Required
Tonsillitis,Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",,,3.6,57,Moderate,Very Safe
Salmonella,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,8.9,25,Moderate,Caution Required
Hepatitis B,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),,5.7,54,Low,Consult Doctor
Eczema,Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,,,4.9,51,Low,Caution Required
Hepatitis C,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,,,9.1,34,High,Caution Required
Sleep Apnea,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",9.5,14,Moderate,Caution Required
Chronic Kidney Disease,Stay well hydrated with 8-10 glasses water daily,Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",6.9,44,Very Low,Very Safe
Common Cold,Drink bone broth rich in minerals and amino acids,Consume 2-3 cloves fresh garlic daily for immune support,Drink warm ginger-honey-lemon tea (1 tsp each in hot water) 3 times daily,,,9.0,19,High,Consult Doctor
Acid Reflux,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,5.5,26,Very Low,Caution Required
Peptic Ulcer,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,3.4,56,Very Low,Consult Doctor
Ear Infection,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,"Practice gentle exercise as tolerated (walking, stretching)",3.7,9,High,Safe
Heart Attack,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",,9.5,37,Very Low,Consult Doctor
Gallstones,Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,5.8,26,Very Low,Safe
Dermatitis,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,Eat nutrient-dense whole foods and avoid processed foods,,4.9,60,Low,Very Safe
PCOS,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,7.8,32,Very Low,Consult Doctor
Salmonella,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",8.9,45,High,Very Safe
Acid Reflux,"Practice gentle exercise as tolerated (walking, stretching)",Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,,,6.6,53,Low,Safe
Diabetes Type 1,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,,,9.4,51,Low,Consult Doctor
Parkinsons Disease,Eat nutrient-dense whole foods and avoid processed foods,Apply hot or cold therapy as appropriate for symptoms,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,8.9,15,Very Low,Consult Doctor
Leukemia,Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",Apply hot or cold therapy as appropriate for symptoms,5.1,14,Low,Very Safe
Bronchitis,Get adequate rest and sleep (7-9 hours nightly),"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,,3.3,29,High,Consult Doctor
Kidney Stones,Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Apply hot or cold therapy as appropriate for symptoms,,8.6,16,Very Low,Consult Doctor
Back Pain,Get adequate rest and sleep (7-9 hours nightly),Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,7.2,19,Moderate,Safe
Crohns Disease,"Practice gentle exercise as tolerated (walking, stretching)",Stay well hydrated with 8-10 glasses water daily,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,,8.2,48,Very Low,Very Safe
Epilepsy,Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",,4.5,7,Moderate,Safe
Macular Degeneration,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,Eat nutrient-dense whole foods and avoid processed foods,"Practice gentle exercise as tolerated (walking, stretching)",,6.6,11,High,Safe
Asthma,Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,"Use stress reduction techniques (meditation, deep breathing)","Practice gentle exercise as tolerated (walking, stretching)",,6.1,48,Moderate,Safe
Gallstones,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",,,6.4,33,Low,Very Safe
Appendicitis,Get adequate rest and sleep (7-9 hours nightly),Apply hot or cold therapy as appropriate for symptoms,"Use stress reduction techniques (meditation, deep breathing)",Eat nutrient-dense whole foods and avoid processed foods,Stay well hydrated with 8-10 glasses water daily,8.3,32,Very Low,Caution Required
Anxiety Disorder,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,"Use stress reduction techniques (meditation, deep breathing)",Stay well hydrated with 8-10 glasses water daily,,8.2,34,Low,Caution Required
Heart Failure,Apply hot or cold therapy as appropriate for symptoms,Stay well hydrated with 8-10 glasses water daily,"Practice gentle exercise as tolerated (walking, stretching)",Eat nutrient-dense whole foods and avoid processed foods,Get adequate rest and sleep (7-9 hours nightly),5.1,28,Very Low,Consult Doctor
Hepatitis C,"Use stress reduction techniques (meditation, deep breathing)",Get adequate rest and sleep (7-9 hours nightly),Eat nutrient-dense whole foods and avoid processed foods,,,3.7,31,Low,Very Safe
