disease,total_risk_score,risk_category,primary_risk_factors,modifiable_factors,genetic_predisposition,environmental_risk,age_adjusted_risk,gender_adjusted_risk,prevention_potential,age_score,gender_score,bmi_score,smoking_status_score,alcohol_consumption_score,physical_activity_score,family_history_score,blood_pressure_score,cholesterol_level_score,blood_sugar_level_score,stress_level_score,sleep_quality_score,diet_quality_score,environmental_factors_score
Chronic Fatigue,6.7,High,"Sleep Quality, Age, Gender","Sleep, Stress",Unknown,Moderate,5.92,7.74,Moderate,7.56,1.49,8.41,2.08,3.09,9.72,5.04,4.96,7.7,9.51,9.97,9.45,7.21,7.62
Deep Vein Thrombosis,5.96,Moderate,"Blood Pressure, Smoking Status, Alcohol Consumption","Exercise, Diet",Moderate,Moderate,7.88,7.53,High,3.33,8.73,1.51,8.77,6.0,2.86,5.28,8.73,7.53,5.03,5.82,6.53,5.9,7.44
Tuberculosis,5.43,Moderate,"Gender, Environmental Factors, Diet Quality","Exercise, Stress",Low,Moderate,6.87,6.36,Low,7.14,1.16,9.33,2.42,1.57,5.75,8.67,2.27,2.87,2.31,9.64,8.41,8.4,6.08
Hemorrhoids,5.56,Moderate,"Cholesterol Level, Age, BMI","Sleep, Smoking",High,High,6.68,7.09,High,5.04,7.03,5.53,8.32,4.25,4.23,4.54,2.55,5.6,9.91,9.18,4.39,5.68,1.63
Hepatitis B,6.48,Moderate,"Smoking Status, Blood Pressure, Family History","Smoking, Diet",High,High,8.11,6.64,Moderate,9.27,7.13,9.1,2.42,1.49,8.85,3.66,9.07,1.09,6.82,7.14,8.79,9.71,6.22
PTSD,5.64,Moderate,"Blood Pressure, Family History, Cholesterol Level","Smoking, Sleep",Low,Moderate,7.46,6.97,Moderate,4.93,8.07,7.47,4.22,6.73,9.81,1.77,6.36,2.66,2.73,6.45,5.0,5.23,7.57
Osteoporosis,5.45,Moderate,"Environmental Factors, Stress Level, Sleep Quality","Sleep, Diet",Low,Low,7.61,6.96,High,2.59,6.79,2.64,6.39,7.62,4.79,6.91,1.58,2.72,9.26,9.46,4.59,1.53,9.38
Stroke,5.1,Moderate,"Cholesterol Level, BMI, Gender","Stress, Sleep",Moderate,High,7.57,5.27,Low,6.12,4.42,7.38,8.67,8.74,1.1,7.66,5.07,2.16,7.07,1.38,5.64,2.7,3.22
Schizophrenia,5.12,Moderate,"Cholesterol Level, Blood Pressure, Blood Sugar Level","Stress, Exercise",Moderate,High,5.36,5.59,Moderate,1.35,6.46,3.46,2.1,8.0,9.24,4.98,5.51,1.57,9.4,6.26,6.93,4.51,1.94
Ulcerative Colitis,7.03,High,"Family History, Stress Level, Age","Stress, Smoking",Unknown,Moderate,8.24,7.58,Low,7.91,2.52,1.9,9.75,4.43,9.95,9.28,8.91,3.58,6.95,8.45,9.76,9.34,5.73
Tension Headache,5.76,Moderate,"Cholesterol Level, Physical Activity, Age","Stress, Diet",Low,Moderate,6.47,6.57,High,2.12,5.3,3.37,8.94,2.92,8.63,8.17,5.56,3.48,2.53,9.42,9.01,4.36,6.83
Coronary Artery Disease,5.59,Moderate,"Cholesterol Level, Alcohol Consumption, Gender","Smoking, Exercise",Unknown,Moderate,4.85,6.79,Low,9.16,5.46,9.6,3.76,2.01,6.84,3.58,4.95,5.98,2.83,6.75,1.69,5.83,9.85
Dermatitis,5.5,Moderate,"Smoking Status, Family History, Sleep Quality","Exercise, Sleep",Moderate,Moderate,7.69,5.41,High,8.24,7.14,7.63,2.72,1.92,2.05,9.11,4.63,1.71,7.83,5.46,6.9,3.51,8.15
Ulcerative Colitis,5.17,Moderate,"BMI, Alcohol Consumption, Physical Activity","Exercise, Stress",Moderate,Moderate,5.96,5.71,High,6.07,9.75,5.97,6.03,5.76,1.05,2.92,9.33,3.15,2.98,1.21,9.8,4.59,3.73
Obesity,6.17,Moderate,"Environmental Factors, Stress Level, Physical Activity","Diet, Exercise",High,Moderate,8.12,7.77,Low,5.44,2.5,7.42,3.78,6.13,5.66,2.32,8.39,9.48,8.17,8.23,8.63,8.22,2.01
Dengue Fever,5.4,Moderate,"Stress Level, Sleep Quality, BMI","Smoking, Diet",Low,High,5.55,5.58,High,4.15,3.78,9.2,9.78,2.85,3.31,9.87,4.13,4.9,5.26,9.34,3.09,4.32,1.66
Hearing Loss,6.09,Moderate,"Sleep Quality, Cholesterol Level, Diet Quality","Smoking, Exercise",Low,Low,7.84,6.06,High,5.23,2.83,8.28,2.43,8.89,9.57,5.51,3.51,8.14,9.34,8.52,6.26,2.36,4.38
Fibromyalgia,5.96,Moderate,"Family History, Smoking Status, Environmental Factors","Smoking, Stress",High,High,6.93,7.25,High,8.42,8.9,7.89,1.99,3.61,4.22,7.05,9.08,3.37,7.46,2.13,8.88,3.64,6.84
Alzheimers Disease,4.42,Moderate,"Gender, Alcohol Consumption, Family History","Stress, Exercise",Unknown,Low,4.93,5.16,Moderate,5.72,7.52,3.79,1.2,5.68,8.85,1.81,6.99,4.04,2.16,1.26,9.97,1.1,1.74
Food Poisoning,5.09,Moderate,"Blood Sugar Level, Stress Level, Age","Diet, Sleep",Unknown,Moderate,4.28,4.6,Moderate,3.76,7.29,2.34,2.59,6.72,8.0,1.66,3.39,7.94,2.87,7.33,1.98,6.08,9.27
Tonsillitis,6.7,High,"Cholesterol Level, Environmental Factors, Stress Level","Sleep, Stress",Low,High,7.82,7.56,Low,9.52,7.58,5.21,4.76,3.79,6.87,2.82,4.24,8.1,9.89,8.98,9.47,9.75,2.86
Breast Cancer,5.06,Moderate,"Blood Sugar Level, BMI, Family History","Sleep, Smoking",Low,High,4.88,5.87,Low,6.84,6.06,5.76,3.71,2.8,3.45,6.0,7.34,3.33,2.67,5.52,7.16,7.7,2.52
Sciatica,6.71,High,"BMI, Gender, Stress Level","Exercise, Sleep",High,Moderate,6.86,6.96,Low,9.7,3.7,7.43,5.99,9.29,6.39,5.03,4.16,6.66,8.48,8.5,6.59,4.14,7.9
Tonsillitis,4.7,Moderate,"Sleep Quality, Age, Environmental Factors","Stress, Exercise",Moderate,Moderate,6.14,4.73,Low,6.81,9.34,3.97,2.01,3.39,5.56,1.58,6.35,4.16,5.8,4.55,5.62,1.87,4.85
Stroke,4.79,Moderate,"Family History, BMI, Blood Sugar Level","Smoking, Diet",Unknown,High,5.29,4.85,Low,5.38,3.37,6.38,9.01,5.23,1.5,3.89,3.78,1.19,4.9,6.87,4.74,5.23,5.66
Measles,5.85,Moderate,"Cholesterol Level, Blood Pressure, Alcohol Consumption","Smoking, Sleep",Moderate,High,6.37,7.31,High,3.49,2.71,9.97,7.27,4.02,3.27,2.15,6.62,8.02,6.66,9.77,2.86,7.14,7.99
Osteoporosis,4.69,Moderate,"Family History, Cholesterol Level, Age","Smoking, Exercise",Moderate,Low,4.58,5.1,Moderate,4.75,8.15,2.16,3.74,1.14,3.54,5.42,6.15,2.99,8.43,5.99,1.2,4.69,7.35
Epilepsy,6.2,Moderate,"Sleep Quality, Age, Alcohol Consumption","Stress, Diet",Unknown,Moderate,7.74,7.4,Low,3.01,9.36,3.05,7.33,5.91,4.56,9.11,6.63,9.4,5.13,9.84,1.43,9.56,2.45
Varicose Veins,5.28,Moderate,"Gender, Family History, Blood Pressure","Exercise, Stress",Moderate,High,5.75,5.12,High,5.25,4.96,2.53,6.29,3.3,6.18,8.67,1.15,6.12,9.03,7.73,4.45,3.91,4.37
Hearing Loss,6.77,High,"Gender, Sleep Quality, Family History","Stress, Exercise",Unknown,Low,5.42,8.61,Moderate,7.41,9.44,8.83,9.79,8.02,4.47,9.04,6.05,7.11,2.57,1.76,7.78,4.11,8.41
Sinusitis,5.36,Moderate,"Smoking Status, Blood Sugar Level, Gender","Exercise, Sleep",Low,Moderate,5.64,6.34,High,6.18,1.62,7.47,7.34,1.75,3.95,2.05,1.53,6.28,5.74,8.66,9.68,2.96,9.79
Typhoid,5.82,Moderate,"Stress Level, Blood Sugar Level, Smoking Status","Diet, Smoking",Unknown,Low,7.74,5.71,Low,9.87,2.66,9.28,3.32,8.5,4.25,6.77,7.02,7.7,4.14,1.18,2.29,6.63,7.9
Psoriasis,6.42,Moderate,"Smoking Status, Family History, Sleep Quality","Exercise, Sleep",Unknown,Low,8.63,6.06,Moderate,8.94,6.36,7.26,3.64,6.06,2.58,6.47,7.08,8.11,5.67,6.25,4.97,7.89,8.66
Glaucoma,5.12,Moderate,"Smoking Status, Blood Sugar Level, Physical Activity","Diet, Exercise",Low,Low,5.3,5.72,Low,3.37,3.08,5.14,5.2,1.65,9.13,8.77,1.55,6.76,8.21,9.94,1.65,3.09,4.11
Skin Cancer,4.58,Moderate,"Diet Quality, Blood Pressure, Environmental Factors","Sleep, Exercise",High,Low,4.92,4.85,Moderate,2.1,5.71,9.81,5.24,1.38,1.31,3.46,5.96,9.63,4.66,2.89,2.05,4.37,5.6
Salmonella,5.37,Moderate,"Sleep Quality, Cholesterol Level, BMI","Exercise, Stress",Low,Low,5.49,6.19,Low,8.37,4.82,3.61,2.32,4.28,7.11,5.58,6.75,7.66,4.16,6.88,4.33,6.55,2.75
Epilepsy,4.82,Moderate,"Blood Pressure, Blood Sugar Level, Physical Activity","Exercise, Sleep",Moderate,Low,5.34,5.8,Moderate,5.82,7.5,1.21,2.19,4.25,7.32,6.15,6.76,2.19,8.15,1.57,4.31,3.45,6.66
COVID-19,5.31,Moderate,"Sleep Quality, Physical Activity, BMI","Diet, Exercise",Unknown,Low,5.42,4.89,Moderate,6.27,1.6,2.29,1.51,7.46,8.42,7.47,1.9,8.38,3.4,1.6,9.43,7.19,7.41
Stroke,5.41,Moderate,"Blood Sugar Level, BMI, Alcohol Consumption","Sleep, Stress",High,High,4.7,6.12,Low,2.17,6.89,9.81,4.59,9.48,7.33,2.79,9.3,4.95,4.26,4.16,2.8,4.98,2.2
Hemorrhoids,5.14,Moderate,"Blood Pressure, Blood Sugar Level, Family History","Stress, Smoking",Moderate,Moderate,4.78,5.21,Low,4.72,8.53,1.37,8.19,4.33,7.37,3.63,3.74,7.42,1.98,7.93,2.78,5.13,4.89
Hearing Loss,4.86,Moderate,"Sleep Quality, Physical Activity, Stress Level","Smoking, Stress",Moderate,Low,6.78,5.17,Low,2.83,2.37,2.98,8.98,3.43,4.8,8.77,9.9,1.15,2.87,7.71,7.64,1.96,2.61
Sinusitis,6.56,High,"Stress Level, Smoking Status, Age","Diet, Stress",Unknown,Moderate,7.89,8.02,Low,4.54,4.37,9.94,9.87,8.62,9.51,5.97,7.89,5.66,4.41,1.37,3.86,7.4,8.39
Anemia,5.91,Moderate,"Stress Level, Gender, Cholesterol Level","Sleep, Smoking",High,Moderate,8.48,5.48,Moderate,4.71,4.83,3.39,6.75,9.16,4.4,9.95,9.59,6.05,2.92,2.46,9.79,4.37,4.36
Migraine,5.87,Moderate,"Blood Sugar Level, Alcohol Consumption, Sleep Quality","Smoking, Sleep",Low,Low,5.19,5.35,High,1.98,6.26,7.16,7.46,4.76,6.58,5.87,8.68,6.21,3.03,4.02,6.65,8.57,4.89
Hypothyroidism,5.6,Moderate,"Smoking Status, Blood Pressure, Stress Level","Stress, Smoking",Unknown,High,6.18,5.89,Low,4.3,6.1,2.2,6.8,8.42,6.09,5.19,8.21,3.29,3.43,9.28,2.2,9.58,3.26
Heart Failure,4.78,Moderate,"Family History, Smoking Status, Blood Pressure","Smoking, Diet",High,Moderate,4.01,4.6,Moderate,1.07,1.81,2.92,8.73,8.97,5.47,2.66,1.59,8.07,2.33,7.23,4.77,8.35,2.9
Sciatica,5.97,Moderate,"Blood Sugar Level, Environmental Factors, BMI","Smoking, Exercise",Low,High,8.91,6.5,High,2.31,7.63,8.92,3.76,3.62,7.06,8.8,9.19,2.32,2.02,7.2,3.3,9.02,8.42
ADHD,5.02,Moderate,"Gender, Alcohol Consumption, Cholesterol Level","Sleep, Smoking",Moderate,Moderate,5.24,4.69,Moderate,1.23,2.78,2.31,4.44,4.49,9.0,5.61,7.81,8.1,3.56,9.52,4.35,4.15,2.97
Sciatica,5.53,Moderate,"BMI, Environmental Factors, Stress Level","Diet, Sleep",Moderate,Moderate,8.12,5.39,Moderate,4.84,7.18,9.97,9.91,2.73,6.67,1.62,1.9,5.83,4.49,5.1,5.26,2.73,9.16
Appendicitis,6.0,Moderate,"Blood Pressure, Diet Quality, Stress Level","Sleep, Stress",Low,High,8.75,7.42,Moderate,3.64,5.69,6.82,6.2,1.8,4.36,6.23,7.3,8.1,7.58,8.66,4.17,8.3,5.11
Hepatitis B,4.71,Moderate,"Gender, BMI, Blood Pressure","Smoking, Sleep",Moderate,Low,3.77,5.25,Moderate,3.63,5.12,4.7,7.11,7.84,4.12,6.74,3.58,1.01,3.66,2.74,3.14,4.04,8.46
Gastritis,5.59,Moderate,"BMI, Family History, Age","Sleep, Stress",High,Moderate,5.0,6.14,Moderate,7.62,9.54,3.73,4.82,7.71,1.46,6.26,4.39,2.73,6.13,1.75,8.1,4.6,9.48
Hernia,6.44,Moderate,"Alcohol Consumption, Sleep Quality, Gender","Sleep, Stress",Low,Moderate,6.89,6.77,High,8.43,9.49,8.41,4.35,8.28,5.5,1.75,8.03,8.03,8.85,4.89,7.51,3.07,3.54
Lactose Intolerance,6.2,Moderate,"Age, Cholesterol Level, Diet Quality","Exercise, Diet",High,Low,8.61,7.54,Low,3.12,4.63,8.52,3.46,2.96,7.49,9.08,2.8,9.37,7.73,3.71,5.98,9.75,8.24
Malaria,5.97,Moderate,"Age, Alcohol Consumption, Diet Quality","Smoking, Exercise",Moderate,Low,7.33,6.5,Low,8.25,2.07,3.85,1.93,8.61,5.48,7.36,9.95,7.07,9.92,5.85,6.26,2.44,4.61
Anxiety Disorder,5.6,Moderate,"Blood Sugar Level, Blood Pressure, Sleep Quality","Smoking, Diet",Unknown,Moderate,7.56,7.22,Moderate,3.4,5.13,8.74,4.36,8.31,9.84,2.3,3.27,8.67,5.64,7.25,5.73,1.92,3.78
PCOS,4.7,Moderate,"Smoking Status, Blood Pressure, Blood Sugar Level","Stress, Sleep",Low,Low,6.94,4.63,Moderate,7.86,3.24,5.56,1.12,1.92,8.02,5.44,1.02,3.25,6.02,2.97,7.35,2.21,9.87
IBS,5.29,Moderate,"Sleep Quality, Physical Activity, Diet Quality","Diet, Smoking",Unknown,High,6.89,5.32,Moderate,6.21,1.99,6.45,8.71,6.44,3.73,4.46,1.03,6.65,7.14,6.71,2.66,8.68,3.17
Osteoarthritis,6.82,High,"Physical Activity, Smoking Status, Sleep Quality","Diet, Sleep",Low,Low,5.73,7.99,Moderate,5.47,8.68,2.14,9.34,9.03,2.87,4.65,9.01,3.43,8.24,9.6,3.26,9.81,9.98
Constipation,4.02,Moderate,"Alcohol Consumption, Environmental Factors, Stress Level","Sleep, Diet",Unknown,High,3.73,4.76,Low,2.89,6.43,4.33,4.14,2.35,5.79,2.91,1.82,4.47,2.22,4.63,2.04,9.66,2.59
Dermatitis,5.41,Moderate,"Blood Pressure, Family History, Stress Level","Sleep, Exercise",Low,High,6.78,6.75,Moderate,5.88,7.55,2.29,1.2,9.05,6.32,7.52,3.29,9.36,5.55,2.42,9.11,2.46,3.7
Dengue Fever,4.73,Moderate,"Age, Blood Pressure, Stress Level","Exercise, Smoking",Moderate,High,5.85,6.09,Moderate,7.57,5.8,9.14,3.47,8.86,2.38,1.9,5.34,1.86,2.68,5.12,5.58,2.7,3.83
Chronic Fatigue,5.03,Moderate,"Blood Sugar Level, Age, Blood Pressure","Sleep, Stress",Unknown,Low,4.94,5.27,High,5.1,3.45,5.48,2.87,9.59,1.4,7.35,9.43,1.64,6.37,3.02,4.29,4.22,6.21
Coronary Artery Disease,6.12,Moderate,"Environmental Factors, Blood Pressure, Diet Quality","Stress, Diet",Low,High,6.78,6.42,Moderate,8.51,7.11,2.27,9.25,7.51,1.34,1.61,5.07,9.9,6.94,9.48,7.06,8.03,1.53
Acid Reflux,4.49,Moderate,"Blood Sugar Level, Environmental Factors, Diet Quality","Smoking, Stress",High,Moderate,3.88,5.72,Low,4.17,1.23,2.33,5.29,8.67,3.33,4.26,7.79,6.66,3.23,7.15,4.83,1.9,2.03
Hearing Loss,4.85,Moderate,"Alcohol Consumption, Blood Pressure, BMI","Exercise, Diet",Moderate,High,4.76,5.22,Low,8.23,4.34,2.18,2.89,3.77,2.11,6.37,8.61,1.08,2.0,7.46,7.96,3.42,7.43
IBS,7.1,High,"Smoking Status, Stress Level, Blood Pressure","Diet, Smoking",Moderate,Moderate,6.69,7.98,Low,9.81,8.29,8.56,9.67,5.46,8.33,4.47,9.41,7.17,5.17,3.82,8.76,6.32,4.15
Mumps,6.1,Moderate,"Blood Pressure, Stress Level, Diet Quality","Stress, Sleep",High,High,8.95,6.44,High,7.63,1.81,2.03,8.69,2.92,6.73,8.24,8.48,4.97,4.71,9.98,7.11,7.09,5.02
Dengue Fever,5.76,Moderate,"BMI, Physical Activity, Smoking Status","Sleep, Stress",Low,Moderate,6.78,6.82,Low,4.92,9.81,8.73,1.88,6.46,1.59,8.94,4.41,1.37,8.12,4.11,9.69,6.74,3.84
Panic Disorder,4.92,Moderate,"Diet Quality, Physical Activity, Smoking Status","Stress, Diet",Moderate,Low,6.52,5.96,Moderate,7.91,3.56,2.08,1.01,4.82,6.0,5.31,3.16,6.77,5.59,1.13,9.24,6.44,5.92
Salmonella,5.65,Moderate,"Blood Pressure, Sleep Quality, Alcohol Consumption","Smoking, Stress",Unknown,Low,6.53,5.74,High,8.75,8.09,3.05,7.52,7.08,4.67,9.29,6.84,1.46,4.12,8.24,1.59,7.14,1.22
Constipation,6.1,Moderate,"BMI, Blood Pressure, Family History","Smoking, Exercise",Moderate,Moderate,7.18,6.11,High,1.64,3.96,7.55,9.52,4.81,9.02,2.83,2.04,8.86,9.67,6.98,8.06,3.08,7.39
Depression,5.3,Moderate,"Sleep Quality, Gender, Age","Smoking, Stress",Moderate,High,6.93,6.64,High,5.6,5.14,7.48,6.72,9.89,1.64,2.39,9.46,6.17,2.59,4.92,1.76,2.09,8.41
Iron Deficiency,5.34,Moderate,"BMI, Age, Cholesterol Level","Smoking, Stress",Unknown,High,6.43,6.26,Moderate,4.04,1.64,7.86,3.08,9.51,1.52,7.69,4.51,3.83,5.94,2.27,6.45,8.0,8.44
Back Pain,4.79,Moderate,"Family History, Sleep Quality, Physical Activity","Exercise, Stress",High,High,5.0,5.97,Moderate,5.5,6.79,3.22,9.62,1.79,4.24,4.38,2.65,7.26,1.13,6.93,2.9,4.58,6.01
Breast Cancer,5.72,Moderate,"Blood Pressure, Physical Activity, BMI","Diet, Exercise",Unknown,High,6.92,5.53,Low,6.74,4.63,3.47,6.56,6.93,6.05,8.64,6.89,5.52,8.49,6.18,3.31,3.85,2.75
Tuberculosis,6.72,High,"Smoking Status, Age, Cholesterol Level","Diet, Stress",High,Low,7.12,7.07,Moderate,9.58,7.7,9.15,7.26,7.17,4.05,9.06,2.93,7.65,3.62,6.3,1.95,8.29,9.42
Constipation,5.87,Moderate,"BMI, Alcohol Consumption, Stress Level","Smoking, Stress",Moderate,Moderate,5.64,6.76,High,7.95,6.38,5.8,8.23,4.71,5.53,6.87,5.22,7.57,6.14,8.4,1.45,3.41,4.47
Macular Degeneration,5.37,Moderate,"Alcohol Consumption, Family History, Stress Level","Stress, Exercise",Unknown,High,7.53,5.14,Moderate,5.2,4.27,4.06,8.15,9.04,4.95,4.91,8.07,5.31,6.49,1.86,4.37,5.94,2.56
Kidney Stones,5.98,Moderate,"Environmental Factors, Cholesterol Level, Physical Activity","Exercise, Sleep",Low,Moderate,8.76,7.28,Low,6.52,8.33,1.99,6.52,4.84,6.21,3.25,9.52,3.56,9.97,3.77,6.59,3.26,9.35
Hernia,6.19,Moderate,"Environmental Factors, Blood Sugar Level, Diet Quality","Stress, Smoking",Moderate,Moderate,7.25,7.07,Low,7.87,4.68,8.91,7.59,6.58,8.1,8.72,1.25,8.64,1.71,2.12,9.44,1.64,9.44
Peptic Ulcer,4.44,Moderate,"Cholesterol Level, Age, Physical Activity","Sleep, Stress",High,Low,3.79,4.05,High,4.84,5.85,1.59,2.05,7.0,9.01,1.17,7.17,2.1,4.35,1.18,6.12,5.36,4.41
Tonsillitis,4.32,Moderate,"Smoking Status, Family History, Diet Quality","Exercise, Sleep",High,Moderate,4.44,4.37,Low,3.81,2.97,3.48,1.25,1.11,8.03,2.87,9.81,1.81,1.75,9.74,4.07,6.65,3.09
Constipation,5.02,Moderate,"Cholesterol Level, Diet Quality, Sleep Quality","Sleep, Stress",High,Moderate,6.96,6.46,Moderate,1.07,3.48,7.43,8.22,1.47,4.45,9.87,1.03,4.16,9.1,2.38,6.02,9.32,2.23
Leukemia,4.99,Moderate,"Stress Level, Gender, Age","Sleep, Smoking",Unknown,Moderate,6.41,4.92,Moderate,5.98,4.28,5.24,5.39,6.58,7.83,7.83,5.74,1.39,7.12,3.25,1.1,4.15,3.93
Panic Disorder,5.9,Moderate,"Environmental Factors, Physical Activity, Sleep Quality","Sleep, Diet",Moderate,High,5.07,7.05,High,7.48,1.8,2.32,3.09,4.95,5.6,8.85,5.5,8.41,7.19,6.75,7.87,5.72,7.12
Vertigo,5.62,Moderate,"Cholesterol Level, Age, Sleep Quality","Stress, Smoking",Unknown,Moderate,6.13,6.68,Moderate,5.97,2.2,8.14,5.69,4.99,8.36,4.85,3.78,2.29,8.73,4.39,8.02,8.98,2.36
Fibromyalgia,5.16,Moderate,"Age, Family History, Gender","Exercise, Stress",Moderate,Moderate,7.61,5.2,Low,1.95,4.67,8.73,4.22,1.35,6.54,9.18,1.46,9.41,3.92,2.89,5.65,9.25,2.95
Depression,4.85,Moderate,"Diet Quality, Blood Sugar Level, Age","Smoking, Diet",Low,Moderate,4.6,5.28,Low,7.62,1.97,2.9,2.46,1.56,4.12,8.99,9.6,3.15,3.76,3.39,7.89,5.7,4.76
PCOS,4.03,Moderate,"Environmental Factors, Stress Level, Alcohol Consumption","Sleep, Exercise",Unknown,Low,3.8,4.5,Moderate,7.79,2.96,8.39,3.31,3.59,1.02,3.24,2.97,1.21,1.74,1.57,9.19,7.35,2.05
Back Pain,4.17,Moderate,"Diet Quality, Cholesterol Level, Physical Activity","Exercise, Stress",Moderate,High,4.19,5.09,Low,3.66,8.58,5.3,2.07,2.03,2.45,2.61,2.94,5.46,2.23,4.42,7.4,2.57,6.73
Diarrhea,5.19,Moderate,"Gender, Alcohol Consumption, Sleep Quality","Sleep, Smoking",Unknown,Low,5.26,5.34,High,3.43,6.88,4.43,4.55,4.34,1.29,1.85,8.64,6.76,7.77,3.07,9.4,1.04,9.18
Hemorrhoids,5.55,Moderate,"BMI, Blood Sugar Level, Environmental Factors","Stress, Diet",Moderate,High,5.18,6.59,High,2.31,8.17,9.62,6.74,8.7,6.97,1.93,7.38,6.01,4.04,8.25,2.68,1.55,3.3
Dengue Fever,5.29,Moderate,"Age, Family History, Stress Level","Stress, Exercise",High,High,6.74,6.55,Low,9.01,4.48,2.65,1.92,5.46,9.61,9.73,2.52,3.72,9.0,2.16,2.52,8.67,2.67
COVID-19,5.34,Moderate,"Blood Sugar Level, Age, Family History","Smoking, Diet",Unknown,High,6.27,5.96,Moderate,7.43,9.19,1.68,5.3,8.04,3.86,2.23,6.35,7.27,9.01,6.64,1.71,4.33,1.78
Celiac Disease,5.97,Moderate,"Blood Pressure, BMI, Stress Level","Smoking, Stress",Unknown,High,5.44,7.68,Moderate,8.83,9.92,6.95,9.29,5.11,5.68,4.42,3.04,1.84,8.84,3.59,8.9,2.64,4.55
Hepatitis A,6.61,High,"Cholesterol Level, BMI, Physical Activity","Diet, Exercise",Moderate,Low,6.27,8.54,High,9.27,5.36,7.82,6.32,5.17,6.8,6.04,9.21,3.39,5.51,7.42,3.57,8.94,7.73
Typhoid,5.97,Moderate,"BMI, Family History, Physical Activity","Stress, Smoking",High,High,8.81,5.42,High,5.68,7.48,7.0,4.54,8.19,6.65,9.23,5.93,1.82,2.33,6.97,6.53,2.46,8.84
Osteoarthritis,5.88,Moderate,"Gender, Environmental Factors, BMI","Exercise, Sleep",High,High,7.36,7.56,Low,4.77,3.48,8.11,8.7,9.68,2.02,6.29,9.71,6.32,5.29,9.28,3.01,2.39,3.25
Varicose Veins,5.55,Moderate,"Physical Activity, Blood Pressure, Age","Smoking, Diet",Unknown,Moderate,5.43,5.1,High,3.53,5.33,2.4,3.98,4.42,8.06,5.02,8.99,8.41,4.83,6.87,5.61,8.64,1.59
Obesity,5.17,Moderate,"Age, Smoking Status, Blood Pressure","Smoking, Stress",Unknown,Low,4.62,5.41,Low,2.63,9.84,5.63,2.17,5.2,7.0,7.55,4.69,2.12,4.43,7.99,4.15,2.37,6.54
PTSD,5.83,Moderate,"Diet Quality, Stress Level, Blood Sugar Level","Smoking, Stress",Moderate,Low,8.1,5.65,Moderate,3.13,8.99,3.57,9.05,1.29,9.5,2.32,4.45,8.95,4.65,8.97,9.96,4.35,2.39
Obesity,5.32,Moderate,"Smoking Status, Physical Activity, Blood Pressure","Exercise, Sleep",High,Low,4.59,6.39,Low,2.67,4.55,2.77,4.19,1.84,6.68,4.46,1.89,2.31,9.88,9.81,7.66,6.54,9.23
Ulcerative Colitis,5.69,Moderate,"Family History, Blood Pressure, BMI","Exercise, Smoking",Moderate,Low,5.24,5.69,Moderate,6.78,9.34,1.43,7.51,5.56,5.12,1.92,9.89,7.58,7.7,3.93,2.52,1.16,9.22
Hepatitis C,5.36,Moderate,"Smoking Status, BMI, Gender","Sleep, Exercise",Moderate,Moderate,6.38,5.04,High,7.88,6.91,9.49,6.28,7.31,4.48,5.68,7.05,2.59,1.07,1.2,5.11,6.58,3.45
Metabolic Syndrome,5.33,Moderate,"Alcohol Consumption, Sleep Quality, Smoking Status","Smoking, Diet",Moderate,Moderate,4.46,6.38,Moderate,8.42,3.65,3.03,4.78,3.57,6.71,8.42,7.78,6.34,4.88,9.16,1.66,4.29,1.97
Hypothyroidism,5.26,Moderate,"Blood Sugar Level, Environmental Factors, BMI","Sleep, Smoking",Unknown,Moderate,5.79,6.0,Moderate,5.41,4.41,8.45,8.13,5.29,3.68,3.39,9.5,5.62,3.53,2.83,2.75,8.71,1.96
Migraine,6.01,Moderate,"Blood Sugar Level, Physical Activity, Gender","Sleep, Stress",Unknown,Moderate,5.01,5.88,High,4.77,2.04,9.34,5.37,2.38,5.5,4.91,6.16,7.09,1.15,8.52,9.99,8.71,8.18
Cataracts,5.18,Moderate,"Alcohol Consumption, Age, Smoking Status","Sleep, Exercise",Low,Moderate,6.66,6.43,Moderate,3.25,6.87,9.38,6.02,1.23,4.67,2.15,5.27,2.9,5.17,3.64,9.56,9.65,2.76
Stroke,5.06,Moderate,"Age, Blood Sugar Level, Smoking Status","Stress, Diet",Unknown,High,4.12,6.03,Moderate,2.97,2.98,3.84,5.98,8.48,6.75,1.05,2.65,6.69,6.85,5.14,6.77,3.35,7.33
Hepatitis B,6.01,Moderate,"Age, Diet Quality, Alcohol Consumption","Smoking, Exercise",Moderate,Low,8.87,6.38,High,8.3,9.42,8.3,4.51,1.76,1.15,5.47,9.18,9.21,9.09,6.99,5.17,1.32,4.32
Hyperthyroidism,5.81,Moderate,"Stress Level, Cholesterol Level, Physical Activity","Smoking, Exercise",Moderate,Low,7.03,5.57,Low,5.53,3.76,8.19,8.65,1.02,5.79,4.06,6.22,6.09,3.53,8.63,9.89,8.8,1.15
Gout,5.97,Moderate,"Age, Diet Quality, Blood Sugar Level","Exercise, Sleep",Low,Moderate,8.57,6.12,Moderate,2.73,7.6,6.88,9.28,7.34,5.31,8.02,6.3,3.74,9.17,1.24,7.52,2.84,5.61
