disease,precaution_1,precaution_2,precaution_3,precaution_4,precaution_5,precaution_6,severity_level,urgency,follow_up_days
Flu,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,Moderate,Medium,70
Skin Cancer,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,,Moderate,Medium,74
Hemorrhoids,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Critical,Emergency,44
Hearing Loss,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,,Critical,Medium,42
Hepatitis C,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,,Critical,High,55
Parkinsons Disease,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Critical,High,30
Gout,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,,Moderate,Low,38
Lymphoma,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,,,Moderate,Emergency,26
Diarrhea,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,,Mild,Emergency,57
Coronary Artery Disease,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,,Moderate,High,3
Skin Allergies,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,,Mild,Low,15
Sinusitis,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,,Mild,Medium,75
Hernia,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,,Severe,Low,86
Chronic Fatigue,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,,Severe,Medium,61
GERD,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,,,Mild,Medium,32
Migraine,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Critical,Low,67
Arthritis,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,,Mild,Medium,56
Panic Disorder,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Mild,Low,12
Panic Disorder,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Critical,Medium,56
Parkinsons Disease,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Mild,Low,44
Colon Cancer,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Severe,Emergency,14
Dermatitis,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Mild,Medium,52
Diabetes Type 2,Check blood glucose levels 2-4 times daily as directed,Follow carbohydrate counting and portion control,Get annual eye exams and foot inspections,"Exercise 30 minutes daily, 5 days per week minimum",Monitor for signs of diabetic complications,Take metformin or other medications as prescribed,Mild,Medium,12
Hepatitis A,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,,,Severe,High,3
Panic Disorder,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,,Mild,Low,30
Colon Cancer,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Moderate,High,81
Cholecystitis,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,,,Critical,High,75
Varicose Veins,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,,Critical,Emergency,79
Gastritis,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Mild,High,25
Hyperthyroidism,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Severe,High,61
GERD,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,,Severe,Medium,80
Eczema,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Mild,Low,38
Hypertension,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Mild,Low,40
Ear Infection,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,,,Severe,High,3
Thyroid Disorder,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Critical,Low,57
Flu,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,,,Critical,Medium,56
PTSD,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Moderate,Low,22
Diabetes Type 2,Follow carbohydrate counting and portion control,Maintain HbA1c levels below 7% (individual targets may vary),"Exercise 30 minutes daily, 5 days per week minimum",Take metformin or other medications as prescribed,Monitor for signs of diabetic complications,,Mild,Low,49
Psoriasis,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,,Moderate,Medium,24
Hernia,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,,Severe,Medium,54
Anxiety Disorder,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,,,Critical,Emergency,7
Hepatitis A,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,,,Severe,High,57
Asthma,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Critical,Medium,80
Deep Vein Thrombosis,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Severe,High,28
Common Cold,Gargle with salt water (1/2 teaspoon salt in 8oz warm water) 3-4 times daily,Get 7-9 hours of quality sleep daily,Use a cool-mist humidifier to maintain 40-50% humidity,Wash hands frequently with soap for 20+ seconds,,,Severe,Medium,46
Hepatitis B,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,,Moderate,Low,39
Food Poisoning,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,,,Moderate,Low,5
COVID-19,Maintain 6+ feet distance from others,Isolate for minimum 5-10 days from symptom onset,Wear N95 or KN95 masks in public spaces,Get vaccinated and boosted as recommended,Monitor oxygen saturation with pulse oximeter,Disinfect frequently touched surfaces daily,Mild,Medium,61
Gallstones,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,,Critical,Medium,22
Cataracts,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Moderate,Emergency,79
Hearing Loss,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,,Severe,Low,15
Meniere Disease,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,,Critical,Emergency,3
IBS,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,,Mild,Emergency,78
Ear Infection,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,,,Mild,Low,25
PCOS,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,,,Moderate,High,34
Chickenpox,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Mild,Medium,76
Gastritis,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,,Moderate,Low,89
Coronary Artery Disease,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,,,Critical,Medium,53
Cataracts,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,,Critical,Medium,61
PTSD,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,,Severe,High,8
Ear Infection,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,,,Severe,Low,4
Fibromyalgia,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,,,Critical,Low,4
Epilepsy,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,,Mild,Low,9
Hyperthyroidism,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,,Moderate,High,75
Hernia,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,,Mild,High,79
Tonsillitis,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Moderate,High,84
Anemia,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,,,Mild,Emergency,79
Lung Cancer,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,,Moderate,Medium,70
Cholecystitis,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Critical,Emergency,75
Diabetes Type 1,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,,Moderate,Low,75
Kidney Stones,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,,,Moderate,Emergency,59
Metabolic Syndrome,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Severe,High,20
Salmonella,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,,,Moderate,High,5
Celiac Disease,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,,Severe,Medium,15
Hepatitis A,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,,,Moderate,Medium,29
Varicose Veins,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,,Critical,Medium,18
Iron Deficiency,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,,Moderate,High,13
Epilepsy,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,,Moderate,High,52
Cataracts,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,,,Moderate,Emergency,88
Deep Vein Thrombosis,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,,,Severe,High,33
Hypothyroidism,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,,,Mild,High,41
Deep Vein Thrombosis,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,,Severe,High,14
Hepatitis C,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Moderate,High,22
Diarrhea,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,,Critical,Emergency,75
Food Poisoning,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,,Mild,Emergency,37
Arthritis,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Severe,Low,87
Celiac Disease,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Mild,Emergency,73
Skin Allergies,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,,Mild,Medium,23
Osteoarthritis,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Critical,Medium,19
Common Cold,Gargle with salt water (1/2 teaspoon salt in 8oz warm water) 3-4 times daily,"Drink 8-10 glasses of warm fluids (water, herbal teas, warm broths)",Wash hands frequently with soap for 20+ seconds,Use a cool-mist humidifier to maintain 40-50% humidity,Take 1000mg vitamin C supplements daily,,Severe,Low,76
Osteoarthritis,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,,,Mild,Emergency,34
Typhoid,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Moderate,Low,35
Tonsillitis,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,,,Critical,High,58
Hepatitis A,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,,Critical,Low,59
Tonsillitis,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,,Mild,Medium,9
Heart Failure,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Critical,Medium,11
Schizophrenia,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,,Severe,High,43
Lymphoma,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Severe,Emergency,57
Laryngitis,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,,,Critical,Medium,43
Salmonella,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,,Severe,High,84
Depression,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,,Moderate,Low,30
Asthma,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,,Moderate,Medium,61
Crohns Disease,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,,,Severe,High,37
Malaria,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,,Moderate,Emergency,30
Depression,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Mild,Medium,87
Laryngitis,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Mild,Low,11
Laryngitis,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,,Mild,Emergency,21
Cluster Headache,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,,Critical,Low,26
Thyroid Disorder,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,,Severe,Emergency,88
Hypothyroidism,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,,,Mild,Medium,49
Hearing Loss,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,,Severe,Medium,54
Gout,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,,,Severe,High,34
Hypertension,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Severe,Emergency,39
Lymphoma,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,,Mild,Low,22
Multiple Sclerosis,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,,Critical,High,4
Celiac Disease,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Critical,Emergency,50
Acid Reflux,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Mild,Emergency,1
