disease,description,icd_10_code,category,contagious,duration_days,mortality_rate,prevalence_per_100k,age_group_risk,complications,last_updated
Psoriasis,Psoriasis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T54.4,Cardiovascular,Yes,3-7,12.253,2542,All ages,May lead to various complications if left untreated,2024-10-29
Salmonella,Salmonella is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X60.3,Cardiovascular,Partially,Chronic,7.379,1519,All ages,May lead to various complications if left untreated,2025-06-07
Common Cold,"A viral upper respiratory infection caused primarily by rhinoviruses, coronaviruses, and adenoviruses. Characterized by inflammation of the nasal passages, throat, and sinuses.",J00,Respiratory,Yes,7-10,0.001,2500,Children,May lead to various complications if left untreated,2025-07-06
Cluster Headache,Cluster Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F69.3,Cardiovascular,No,7-14,5.378,2394,Children,May lead to various complications if left untreated,2025-01-26
Ulcerative Colitis,Ulcerative Colitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I67.8,Endocrine,No,7-14,13.717,3813,Adults,May lead to various complications if left untreated,2025-09-05
Heart Failure,Heart Failure is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V84.8,Infectious,Yes,Chronic,7.101,2954,Elderly,May lead to various complications if left untreated,2024-09-21
Heart Failure,Heart Failure is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O96.8,Endocrine,No,3-7,13.218,1578,All ages,May lead to various complications if left untreated,2024-09-22
Typhoid,Typhoid is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C53.1,Respiratory,Yes,Chronic,5.472,3684,Elderly,May lead to various complications if left untreated,2024-11-02
Measles,Measles is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P95.8,Infectious,Yes,3-7,13.693,1417,All ages,May lead to various complications if left untreated,2025-08-11
Asthma,Asthma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F17.3,Respiratory,Partially,7-14,2.912,2546,Adults,May lead to various complications if left untreated,2024-10-20
Anxiety Disorder,Anxiety Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q50.1,Endocrine,Partially,Chronic,2.55,2410,Children,May lead to various complications if left untreated,2025-02-11
Leukemia,Leukemia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N70.8,Respiratory,No,Chronic,14.751,2378,All ages,May lead to various complications if left untreated,2025-06-04
Skin Cancer,Skin Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R52.0,Respiratory,No,3-7,6.493,1381,Elderly,May lead to various complications if left untreated,2025-05-20
Dengue Fever,Dengue Fever is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E18.5,Neurological,No,Chronic,4.795,1724,Adults,May lead to various complications if left untreated,2025-06-21
Mumps,Mumps is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H95.6,Respiratory,No,3-7,14.313,358,All ages,May lead to various complications if left untreated,2025-02-23
Glaucoma,Glaucoma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T74.3,Cardiovascular,Partially,3-7,11.659,1590,All ages,May lead to various complications if left untreated,2025-08-07
Typhoid,Typhoid is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J29.0,Cardiovascular,Yes,7-14,14.053,3438,Children,May lead to various complications if left untreated,2024-10-21
PCOS,PCOS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U95.8,Infectious,Partially,Chronic,11.643,4091,Elderly,May lead to various complications if left untreated,2024-11-06
Vertigo,Vertigo is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F14.8,Cardiovascular,Yes,14-30,10.63,4098,Children,May lead to various complications if left untreated,2025-01-05
Mumps,Mumps is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F27.9,Endocrine,Yes,3-7,11.806,2878,Elderly,May lead to various complications if left untreated,2025-05-23
Food Poisoning,Food Poisoning is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A29.3,Respiratory,Partially,Chronic,3.115,3058,Elderly,May lead to various complications if left untreated,2025-01-01
Flu,Flu is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O90.5,Respiratory,No,14-30,3.04,4065,Children,May lead to various complications if left untreated,2025-01-11
Food Poisoning,Food Poisoning is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q43.4,Neurological,No,14-30,8.216,2005,All ages,May lead to various complications if left untreated,2024-11-06
Anxiety Disorder,Anxiety Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q67.8,Neurological,Yes,14-30,3.201,4577,Elderly,May lead to various complications if left untreated,2025-08-01
Alzheimers Disease,Alzheimers Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S65.3,Infectious,Yes,3-7,0.206,1216,Children,May lead to various complications if left untreated,2025-04-30
Hemorrhoids,Hemorrhoids is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C20.0,Infectious,Yes,14-30,13.88,3425,Adults,May lead to various complications if left untreated,2025-05-17
Fibromyalgia,Fibromyalgia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q63.8,Endocrine,No,7-14,5.295,145,Elderly,May lead to various complications if left untreated,2025-08-27
Heart Attack,Heart Attack is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H20.6,Infectious,Yes,3-7,6.267,2103,Elderly,May lead to various complications if left untreated,2025-06-28
Flu,Flu is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P38.9,Cardiovascular,No,Chronic,8.42,4962,All ages,May lead to various complications if left untreated,2024-10-11
Hepatitis C,Hepatitis C is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q33.4,Neurological,Partially,3-7,7.244,1162,Adults,May lead to various complications if left untreated,2024-12-15
Hemorrhoids,Hemorrhoids is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M87.9,Respiratory,No,Chronic,3.805,1627,All ages,May lead to various complications if left untreated,2025-07-09
Obesity,Obesity is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O62.1,Neurological,No,Chronic,0.623,3633,Children,May lead to various complications if left untreated,2025-01-21
Meniere Disease,Meniere Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G22.5,Infectious,No,14-30,0.897,1906,Elderly,May lead to various complications if left untreated,2024-11-02
Breast Cancer,Breast Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R41.9,Neurological,Yes,7-14,5.712,4832,Children,May lead to various complications if left untreated,2025-08-14
Hypertension,Hypertension is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X41.1,Respiratory,Yes,14-30,7.942,1911,Adults,May lead to various complications if left untreated,2025-05-30
Psoriasis,Psoriasis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H73.3,Infectious,Partially,14-30,10.588,4232,Children,May lead to various complications if left untreated,2024-12-04
Deep Vein Thrombosis,Deep Vein Thrombosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N95.4,Respiratory,No,3-7,6.734,1136,All ages,May lead to various complications if left untreated,2025-01-20
Dermatitis,Dermatitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L67.4,Neurological,No,14-30,4.073,1695,All ages,May lead to various complications if left untreated,2025-03-10
Alzheimers Disease,Alzheimers Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P60.3,Respiratory,Partially,3-7,3.011,966,Children,May lead to various complications if left untreated,2025-04-01
Rheumatoid Arthritis,Rheumatoid Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A85.1,Respiratory,Yes,3-7,14.439,4446,Children,May lead to various complications if left untreated,2025-07-06
Cholecystitis,Cholecystitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y18.3,Infectious,Yes,7-14,4.14,687,Adults,May lead to various complications if left untreated,2025-08-29
Arthritis,Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E82.9,Neurological,Yes,14-30,12.789,3146,Adults,May lead to various complications if left untreated,2024-12-08
Malaria,Malaria is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W30.3,Endocrine,No,14-30,6.085,3976,Children,May lead to various complications if left untreated,2025-02-25
Cholecystitis,Cholecystitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B65.1,Neurological,No,Chronic,4.74,1296,Adults,May lead to various complications if left untreated,2025-03-06
GERD,GERD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y20.2,Infectious,No,7-14,7.663,302,Children,May lead to various complications if left untreated,2024-11-15
PCOS,PCOS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R53.1,Endocrine,No,3-7,10.811,1861,Children,May lead to various complications if left untreated,2025-01-03
IBS,IBS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J63.6,Infectious,Yes,14-30,8.583,2070,All ages,May lead to various complications if left untreated,2024-11-16
Chronic Kidney Disease,Chronic Kidney Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z14.1,Neurological,No,3-7,13.935,3020,Elderly,May lead to various complications if left untreated,2025-07-22
Celiac Disease,Celiac Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R75.3,Infectious,Yes,7-14,0.946,1659,Adults,May lead to various complications if left untreated,2024-09-09
Diarrhea,Diarrhea is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F54.1,Endocrine,Yes,Chronic,12.725,978,Children,May lead to various complications if left untreated,2024-12-03
Eczema,Eczema is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M90.9,Endocrine,No,14-30,5.907,2547,All ages,May lead to various complications if left untreated,2025-01-02
Parkinsons Disease,Parkinsons Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U35.8,Cardiovascular,Yes,Chronic,6.9,1846,Elderly,May lead to various complications if left untreated,2025-08-13
Heart Attack,Heart Attack is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F85.6,Infectious,Yes,7-14,4.643,4957,Children,May lead to various complications if left untreated,2025-01-21
Gallstones,Gallstones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B11.4,Neurological,No,3-7,8.598,3994,All ages,May lead to various complications if left untreated,2025-08-23
PCOS,PCOS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I59.4,Endocrine,Yes,Chronic,8.605,1958,Children,May lead to various complications if left untreated,2025-07-15
Osteoarthritis,Osteoarthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z52.0,Neurological,Yes,Chronic,9.758,2699,Elderly,May lead to various complications if left untreated,2024-09-15
Leukemia,Leukemia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K85.1,Neurological,Yes,3-7,9.158,2612,All ages,May lead to various complications if left untreated,2025-03-11
Back Pain,Back Pain is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E28.9,Neurological,No,Chronic,11.943,4564,All ages,May lead to various complications if left untreated,2025-03-06
Cluster Headache,Cluster Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X38.2,Cardiovascular,Yes,3-7,0.544,1066,Children,May lead to various complications if left untreated,2025-08-10
Chronic Kidney Disease,Chronic Kidney Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J93.5,Cardiovascular,No,Chronic,13.93,2472,Adults,May lead to various complications if left untreated,2025-06-15
Measles,Measles is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K41.6,Cardiovascular,Partially,14-30,14.851,512,Children,May lead to various complications if left untreated,2025-05-14
Metabolic Syndrome,Metabolic Syndrome is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M51.3,Endocrine,Partially,14-30,4.923,1134,All ages,May lead to various complications if left untreated,2025-08-14
Gastritis,Gastritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U58.2,Cardiovascular,No,Chronic,14.915,4858,Adults,May lead to various complications if left untreated,2024-09-15
Tuberculosis,Tuberculosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y93.9,Cardiovascular,Yes,7-14,1.543,3462,Adults,May lead to various complications if left untreated,2024-11-01
Diabetes Type 1,Diabetes Type 1 is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I35.1,Neurological,Partially,Chronic,1.933,2156,Children,May lead to various complications if left untreated,2025-02-11
Bronchitis,Bronchitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A87.4,Infectious,Yes,14-30,0.458,570,Elderly,May lead to various complications if left untreated,2025-01-13
Heart Attack,Heart Attack is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I15.0,Endocrine,Yes,Chronic,5.965,246,All ages,May lead to various complications if left untreated,2025-06-16
Lymphoma,Lymphoma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V91.9,Cardiovascular,Yes,7-14,5.644,2180,Elderly,May lead to various complications if left untreated,2025-08-15
Thyroid Disorder,Thyroid Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R85.7,Endocrine,Yes,3-7,13.803,4027,Adults,May lead to various complications if left untreated,2024-12-29
Varicose Veins,Varicose Veins is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D88.7,Cardiovascular,Partially,Chronic,0.934,3443,All ages,May lead to various complications if left untreated,2025-01-22
Depression,Depression is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P19.1,Cardiovascular,Yes,Chronic,11.262,3677,Adults,May lead to various complications if left untreated,2025-03-14
Gallstones,Gallstones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B57.9,Respiratory,No,Chronic,4.883,780,Adults,May lead to various complications if left untreated,2025-01-22
Heart Attack,Heart Attack is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R11.9,Respiratory,No,3-7,3.011,788,Children,May lead to various complications if left untreated,2024-12-10
Food Poisoning,Food Poisoning is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H17.4,Endocrine,No,7-14,13.192,4874,All ages,May lead to various complications if left untreated,2025-05-01
Colon Cancer,Colon Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G41.5,Respiratory,No,Chronic,5.097,1643,Elderly,May lead to various complications if left untreated,2025-03-24
Gout,Gout is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B91.5,Neurological,Partially,7-14,10.308,2462,Elderly,May lead to various complications if left untreated,2025-08-06
Alzheimers Disease,Alzheimers Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W16.5,Cardiovascular,No,Chronic,4.929,809,All ages,May lead to various complications if left untreated,2025-05-04
Skin Allergies,Skin Allergies is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B99.7,Infectious,No,Chronic,13.378,1480,Elderly,May lead to various complications if left untreated,2025-06-19
Hepatitis C,Hepatitis C is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F67.1,Neurological,Yes,Chronic,1.528,4040,Adults,May lead to various complications if left untreated,2025-02-28
Common Cold,"A viral upper respiratory infection caused primarily by rhinoviruses, coronaviruses, and adenoviruses. Characterized by inflammation of the nasal passages, throat, and sinuses.",J00,Respiratory,Yes,7-10,0.001,2500,Adults,May lead to various complications if left untreated,2025-06-27
ADHD,ADHD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M10.6,Endocrine,No,14-30,4.266,4977,Adults,May lead to various complications if left untreated,2025-02-12
Celiac Disease,Celiac Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C14.5,Cardiovascular,Yes,3-7,2.284,2021,Adults,May lead to various complications if left untreated,2025-05-30
Migraine,Migraine is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I18.2,Endocrine,No,3-7,3.306,4397,Adults,May lead to various complications if left untreated,2025-05-18
Acid Reflux,Acid Reflux is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S68.3,Infectious,Partially,Chronic,10.406,3094,All ages,May lead to various complications if left untreated,2024-09-11
Deep Vein Thrombosis,Deep Vein Thrombosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W82.7,Endocrine,No,7-14,4.058,175,Elderly,May lead to various complications if left untreated,2025-08-22
Iron Deficiency,Iron Deficiency is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N92.1,Infectious,No,7-14,0.285,3560,All ages,May lead to various complications if left untreated,2025-01-27
Alzheimers Disease,Alzheimers Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D90.4,Cardiovascular,Yes,7-14,1.137,1642,Adults,May lead to various complications if left untreated,2025-06-01
Salmonella,Salmonella is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D23.9,Neurological,No,3-7,2.942,4373,All ages,May lead to various complications if left untreated,2025-07-24
Parkinsons Disease,Parkinsons Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U31.6,Endocrine,No,7-14,13.565,4506,Adults,May lead to various complications if left untreated,2024-10-20
Acid Reflux,Acid Reflux is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B68.2,Cardiovascular,Partially,7-14,11.885,2206,Adults,May lead to various complications if left untreated,2025-02-19
Schizophrenia,Schizophrenia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U88.1,Infectious,No,7-14,12.507,4668,Adults,May lead to various complications if left untreated,2025-01-26
Osteoporosis,Osteoporosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H84.0,Neurological,Partially,3-7,6.525,79,Elderly,May lead to various complications if left untreated,2024-12-25
Chronic Fatigue,Chronic Fatigue is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P58.2,Respiratory,Partially,3-7,14.557,1750,Elderly,May lead to various complications if left untreated,2025-05-05
Deep Vein Thrombosis,Deep Vein Thrombosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T90.0,Infectious,Partially,14-30,3.643,3199,Children,May lead to various complications if left untreated,2025-03-17
Salmonella,Salmonella is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G92.8,Endocrine,Partially,14-30,2.305,1400,Children,May lead to various complications if left untreated,2025-02-03
Asthma,Asthma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F80.7,Respiratory,Yes,3-7,6.905,18,Adults,May lead to various complications if left untreated,2025-08-27
Cholecystitis,Cholecystitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T70.4,Neurological,No,14-30,1.603,4334,Adults,May lead to various complications if left untreated,2025-06-01
Glaucoma,Glaucoma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L33.6,Infectious,No,14-30,2.504,3777,Children,May lead to various complications if left untreated,2025-03-14
Cholecystitis,Cholecystitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q62.6,Respiratory,Partially,Chronic,2.614,4989,Children,May lead to various complications if left untreated,2025-05-25
Common Cold,"A viral upper respiratory infection caused primarily by rhinoviruses, coronaviruses, and adenoviruses. Characterized by inflammation of the nasal passages, throat, and sinuses.",J00,Respiratory,Yes,7-10,0.001,2500,Children,May lead to various complications if left untreated,2025-02-12
Salmonella,Salmonella is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S97.1,Cardiovascular,Yes,14-30,0.429,3018,Adults,May lead to various complications if left untreated,2024-10-19
Acid Reflux,Acid Reflux is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W58.7,Neurological,No,3-7,14.342,2974,Elderly,May lead to various complications if left untreated,2025-08-01
Stroke,Stroke is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C73.4,Infectious,No,14-30,8.729,1581,Children,May lead to various complications if left untreated,2025-05-17
Gastritis,Gastritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P98.1,Endocrine,No,14-30,11.95,4700,Elderly,May lead to various complications if left untreated,2025-04-13
Tonsillitis,Tonsillitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W72.7,Respiratory,Partially,3-7,2.441,1996,Children,May lead to various complications if left untreated,2025-06-12
Kidney Stones,Kidney Stones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U31.9,Neurological,No,3-7,14.736,63,Adults,May lead to various complications if left untreated,2025-05-17
PCOS,PCOS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y60.1,Cardiovascular,Yes,14-30,7.261,4726,Children,May lead to various complications if left untreated,2025-01-17
Lactose Intolerance,Lactose Intolerance is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W67.5,Endocrine,No,14-30,14.597,1014,Adults,May lead to various complications if left untreated,2025-03-31
Celiac Disease,Celiac Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R30.7,Infectious,No,14-30,9.958,29,All ages,May lead to various complications if left untreated,2025-06-03
Leukemia,Leukemia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y83.2,Endocrine,No,14-30,5.281,377,Children,May lead to various complications if left untreated,2025-07-12
Mumps,Mumps is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M55.7,Respiratory,Yes,Chronic,8.361,1577,Children,May lead to various complications if left untreated,2025-05-22
Heart Disease,"Broad term for conditions affecting heart and blood vessels, including coronary artery disease, heart failure, arrhythmias, and valvular diseases. Leading cause of death globally.",I25.9,Cardiovascular,No,Chronic,23.1,665,Elderly,May lead to various complications if left untreated,2024-10-08
Malaria,Malaria is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B65.8,Neurological,Partially,14-30,7.365,293,All ages,May lead to various complications if left untreated,2025-02-22
Heart Failure,Heart Failure is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S70.2,Cardiovascular,No,Chronic,0.504,2245,Adults,May lead to various complications if left untreated,2024-11-24
Arthritis,Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z89.8,Respiratory,Yes,14-30,9.091,1043,Children,May lead to various complications if left untreated,2024-09-24
IBS,IBS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G55.2,Endocrine,No,3-7,4.957,4965,Elderly,May lead to various complications if left untreated,2025-03-19
Osteoporosis,Osteoporosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W87.7,Infectious,Yes,3-7,3.584,3492,All ages,May lead to various complications if left untreated,2025-01-14
Flu,Flu is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L87.1,Neurological,Yes,14-30,0.421,2449,All ages,May lead to various complications if left untreated,2025-05-24
Cholecystitis,Cholecystitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y96.8,Cardiovascular,Partially,Chronic,13.087,1402,All ages,May lead to various complications if left untreated,2025-08-22
Mumps,Mumps is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C23.9,Cardiovascular,No,7-14,10.869,546,Children,May lead to various complications if left untreated,2025-01-22
Alzheimers Disease,Alzheimers Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X85.6,Cardiovascular,Yes,7-14,12.862,2292,Adults,May lead to various complications if left untreated,2025-01-22
Gout,Gout is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K19.3,Respiratory,Yes,Chronic,13.013,1482,Elderly,May lead to various complications if left untreated,2024-12-15
Anxiety Disorder,Anxiety Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D27.0,Neurological,No,14-30,1.265,3802,Children,May lead to various complications if left untreated,2025-01-29
Rheumatoid Arthritis,Rheumatoid Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O18.8,Respiratory,No,14-30,1.186,1990,Adults,May lead to various complications if left untreated,2024-10-13
Back Pain,Back Pain is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z99.0,Respiratory,Yes,Chronic,9.815,56,Children,May lead to various complications if left untreated,2025-01-25
Heart Attack,Heart Attack is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E44.3,Endocrine,No,14-30,2.125,2481,Elderly,May lead to various complications if left untreated,2024-11-01
Migraine,Migraine is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P68.9,Respiratory,Partially,14-30,14.535,1313,Children,May lead to various complications if left untreated,2024-09-20
Parkinsons Disease,Parkinsons Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K30.8,Respiratory,Yes,Chronic,14.869,2017,All ages,May lead to various complications if left untreated,2025-08-07
Hyperthyroidism,Hyperthyroidism is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M71.1,Neurological,Yes,14-30,0.475,1366,Adults,May lead to various complications if left untreated,2025-02-03
PCOS,PCOS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J82.2,Infectious,Partially,14-30,7.99,2807,All ages,May lead to various complications if left untreated,2025-08-12
Gallstones,Gallstones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D78.9,Infectious,No,14-30,11.512,2460,All ages,May lead to various complications if left untreated,2025-06-20
Insomnia,Insomnia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L43.7,Neurological,No,Chronic,1.706,543,All ages,May lead to various complications if left untreated,2025-07-05
COVID-19,"Coronavirus disease caused by SARS-CoV-2 virus affecting respiratory system, cardiovascular system, and multiple organs. Can range from asymptomatic to severe respiratory failure.",U07.1,Infectious Disease,Yes,5-14,2.1,1200,All ages,May lead to various complications if left untreated,2025-08-01
Hearing Loss,Hearing Loss is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z75.5,Endocrine,No,Chronic,12.903,1449,Elderly,May lead to various complications if left untreated,2025-02-15
Salmonella,Salmonella is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R76.5,Infectious,Partially,3-7,11.199,12,Elderly,May lead to various complications if left untreated,2025-04-19
Stroke,Stroke is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T79.7,Respiratory,Partially,3-7,5.012,1869,All ages,May lead to various complications if left untreated,2025-05-10
Schizophrenia,Schizophrenia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U31.5,Respiratory,Yes,7-14,11.904,2123,All ages,May lead to various complications if left untreated,2025-04-01
Hypertension,Hypertension is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I50.0,Endocrine,Yes,14-30,13.635,1317,Elderly,May lead to various complications if left untreated,2024-09-20
Hearing Loss,Hearing Loss is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z17.0,Endocrine,Partially,Chronic,2.369,3554,Adults,May lead to various complications if left untreated,2025-02-23
Stroke,Stroke is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V54.5,Cardiovascular,No,14-30,5.024,3265,Elderly,May lead to various complications if left untreated,2024-10-06
Eczema,Eczema is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B65.3,Neurological,Yes,14-30,5.91,1956,Elderly,May lead to various complications if left untreated,2025-07-09
Dermatitis,Dermatitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D46.3,Endocrine,Partially,7-14,2.383,4707,Adults,May lead to various complications if left untreated,2024-12-20
Macular Degeneration,Macular Degeneration is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E53.0,Infectious,Yes,Chronic,7.831,303,Children,May lead to various complications if left untreated,2025-01-18
